age,job,marital,education,default,balance,housing,loan,contact,duration,campaign,pdays,previous,poutcome,deposit
39,management,single,tertiary,no,1270,yes,no,cellular,54,1,-1,0,unknown,yes
52,entrepreneur,married,secondary,no,1559,yes,no,cellular,17,1,-1,0,unknown,yes
46,blue-collar,single,secondary,no,1391,yes,no,cellular,147,3,-1,0,unknown,yes
36,technician,single,secondary,no,436,yes,no,cellular,529,3,-1,0,unknown,yes
57,services,married,secondary,no,26,yes,no,cellular,141,1,-1,0,unknown,yes
49,management,married,tertiary,no,2516,yes,no,cellular,135,1,-1,0,unknown,yes
60,admin.,married,secondary,no,1926,yes,no,cellular,90,1,-1,0,unknown,yes
56,technician,divorced,secondary,no,1645,yes,no,cellular,116,1,-1,0,unknown,yes
34,services,single,secondary,no,1212,yes,no,cellular,73,2,-1,0,unknown,yes
47,blue-collar,divorced,secondary,no,1203,yes,no,cellular,174,1,-1,0,unknown,yes
30,technician,single,tertiary,no,1291,no,no,cellular,220,1,-1,0,unknown,yes
37,blue-collar,married,secondary,no,2317,yes,no,cellular,371,1,-1,0,unknown,yes
40,management,married,tertiary,no,395,yes,no,cellular,404,1,-1,0,unknown,yes
56,technician,married,secondary,no, 2187,yes,no,cellular,603,4,-1,0,unknown,yes
30,blue-collar,married,secondary,no,677,yes,no,cellular,191,1,-1,0,unknown,yes
37,services,single,secondary,no,2317,yes,no,cellular,371,1,-1,0,unknown,yes
31,blue-collar,single,secondary,no,360,yes,no,cellular,164,1,-1,0,unknown,yes
55,management,married,tertiary,no,1201,yes,no,cellular,471,1,-1,0,unknown,yes
31,technician,single,secondary,no,1270,yes,no,cellular,283,1,-1,0,unknown,yes
52,management,married,tertiary,no,2143,yes,no,cellular,226,1,-1,0,unknown,yes
40,technician,single,secondary,no,4962,yes,no,cellular,542,1,-1,0,unknown,yes
30,admin.,single,secondary,no,677,yes,no,cellular,191,1,-1,0,unknown,yes
